system_id,conc,T,sigma_exp,sigma_sim,Dp_exp,Dm_exp,Dp_sim,Dm_sim,sNE_exp,sNE_sim,alpha_exp,alpha_sim
lipf6_dme,0.5,273.0,5.676,16.097691640929483,4.67,5.17,5.905055954443513,7.137211204582311,20.178592170829845,26.745385161076186,0.28128820642924834,0.601886700975883
lipf6_dme,0.5,298.0,5.676,22.24054677729232,7.14,7.75,10.747987331235247,11.083685056251795,27.972858288542245,41.013719133449,0.2029109768280242,0.5422709095199781
lipf6_dme,0.5,323.0,6.61065,24.72238335311197,10.3,11.2,10.654131265194,12.289377722569196,37.26441854397473,39.766349850579246,0.17739844758878906,0.6216910389312953
naotf_diglyme,1.0,298.0,2.7783,6.02325694414967,2.58,2.87,1.7271399763175856,2.0061447888510324,20.477109156824078,14.026950394470845,0.13567833128799436,0.4294060201798335
naotf_dme,1.0,298.0,1.2326,11.730004443813932,5.9,5.44,4.735515845477228,5.086850548317367,42.60741611713485,36.905260334688506,0.028929236089120684,0.31784098899279417
naotf_pc,1.0,298.0,3.3058,1.909436246504,1.68,1.53,0.9721961027810362,0.879177062869503,12.06082942998262,6.956104661108445,0.27409391859750093,0.2744979179481946
naotf_tegdme,1.0,298.0,1.215,1.4129098403908595,0.54,0.936,0.3425021853005219,0.3772839151716721,5.545727177150886,2.704429091547496,0.21908758963224106,0.5224429232797452
napf6_diglyme,1.0,298.0,6.6863,7.513434558220094,2.67,2.96,1.736765683012316,1.98540418292145,21.153417349159547,13.985188742195769,0.31608604367018056,0.5372422708569348
napf6_dme,1.0,298.0,12.9595,19.58969529208349,6.49,6.42,4.837565905705578,5.202963708765321,48.506326461394266,37.72495796474225,0.2671713350693408,0.519276795759243
napf6_pc,1.0,298.0,6.505199999999999,3.759301560120835,1.29,1.76,1.0362615446266898,0.9659103152277324,11.459666592351086,7.522695729350545,0.5676604940969213,0.49972798254401624
napf6_tegdme,1.0,298.0,1.86,1.2660803735433148,,0.796,0.350180062945345,0.3920086836987191,,2.7886018311921,,0.4540197741325006
