system_id,conc,T,sigma_exp,sigma_sim,Dp_exp,Dm_exp,Dp_sim,Dm_sim,sNE_exp,sNE_sim,alpha_exp,alpha_sim
lipf6_dme,0.5,273.0,5.676,7.20779157044173,4.67,5.17,4.237854732452375,4.900920573472154,20.178592170829845,18.74061177226644,0.28128820642924834,0.384608125819472
lipf6_dme,0.5,298.0,5.676,8.536538987839055,7.14,7.75,5.806558821659888,5.6017236110188575,27.972858288542245,21.43198574915974,0.2029109768280242,0.398308354986366
lipf6_dme,0.5,323.0,6.61065,12.211064566671023,10.3,11.2,6.8826515716757495,7.556344888285943,37.26441854397473,25.026084066929396,0.17739844758878906,0.4879334910733109
naotf_diglyme,1.0,298.0,2.7783,3.3065902079794323,2.58,2.87,1.4511276858035609,1.6001359523949712,20.477109156824078,11.464414419383393,0.13567833128799436,0.2884220760886691
naotf_dme,1.0,298.0,1.2326,5.149202863025656,5.9,5.44,3.721470201590922,3.771940946657323,42.60741611713485,28.154751933879215,0.028929236089120684,0.18288929965067496
naotf_pc,1.0,298.0,3.3058,2.0422354880987146,1.68,1.53,0.6749424440742023,0.8060353316525032,12.06082942998262,5.564430013281885,0.27409391859750093,0.3670161154375289
naotf_tgdme,1.0,298.0,1.215,0.7223634786033098,0.54,0.936,0.3122332109456731,0.3686167045747966,5.545727177150886,2.5581354200967166,0.21908758963224106,0.2823789049353764
napf6_diglyme,1.0,298.0,6.6863,4.053507305356692,2.67,2.96,1.2790407938732946,1.4904620102736028,21.153417349159547,10.40576352855897,0.31608604367018056,0.38954443796764204
napf6_dme,1.0,298.0,12.9595,11.234102627615218,6.49,6.42,3.438122238868746,3.859995533319405,48.506326461394266,27.420982433110915,0.2671713350693408,0.409690012202116
napf6_pc,1.0,298.0,6.505199999999999,2.3435387265178265,1.29,1.76,0.5901287393179333,0.8770501253591179,11.459666592351086,5.5125838100141635,0.5676604940969213,0.4251252783242139
napf6_tgdme,1.0,298.0,1.86,1.0112258182629472,,0.796,0.3733406295369428,0.4338649092196492,,3.032887326442517,,0.3334201733926871
