system_id,conc,T,sigma_exp,sigma_sim,Dp_exp,Dm_exp,Dp_sim,Dm_sim,sNE_exp,sNE_sim,alpha_exp,alpha_sim
lipf6_dme,0.5,273.0,5.676,16.097691640929483,4.67,5.17,5.905055954443513,7.137211204582311,20.178592170829845,26.745385161076186,0.28128820642924834,0.601886700975883
lipf6_dme,0.5,298.0,5.676,22.24054677729232,7.14,7.75,10.747987331235247,11.083685056251795,27.972858288542245,41.013719133449,0.2029109768280242,0.5422709095199781
lipf6_dme,0.5,323.0,6.61065,24.72238335311197,10.3,11.2,10.654131265194,12.289377722569196,37.26441854397473,39.766349850579246,0.17739844758878906,0.6216910389312953
naotf_diglyme,0.1,298.0,0.1142,2.5120301729625347,7.25,5.44,3.765339027359156,8.083848887133016,4.767972755965092,4.452057143940858,0.023951479139038123,0.5642403257068133
naotf_diglyme,1.0,298.0,2.7783,6.02325694414967,2.58,2.87,1.7271399763175856,2.0061447888510324,20.477109156824078,14.026950394470845,0.13567833128799436,0.4294060201798335
naotf_dme,0.1,298.0,0.046,3.901132819170528,12.3,11.4,11.668490159953624,15.079145803772995,8.904724532417074,10.0498029599307,0.005165797081374047,0.38818003046672955
naotf_dme,1.0,298.0,1.2326,11.730004443813932,5.9,5.44,4.735515845477228,5.086850548317367,42.60741611713485,36.905260334688506,0.028929236089120684,0.31784098899279417
naotf_pc,0.1,298.0,1.5165,1.5537252731244224,3.11,3.7,4.0022909021392525,3.782679338627103,2.55869932766921,2.9250217505100853,0.5926839404696377,0.5311841776402084
naotf_pc,1.0,298.0,3.3058,1.909436246504,1.68,1.53,0.9721961027810362,0.879177062869503,12.06082942998262,6.956104661108445,0.27409391859750093,0.2744979179481946
naotf_tegdme,0.1,298.0,0.0912999999999999,1.2639632292930716,1.01,1.77,1.609392720729744,1.5520640701435875,1.0445204303847875,1.1878439596568062,0.08740853442796345,1.0640818762577686
naotf_tegdme,1.0,298.0,1.215,1.4129098403908595,0.54,0.936,0.3425021853005219,0.3772839151716721,5.545727177150886,2.704429091547496,0.21908758963224106,0.5224429232797452
napf6_diglyme,0.1,298.0,0.5173,3.711124092177216,6.67,5.55,3.777900678744159,6.042320464756688,4.591381172410828,3.689720005497588,0.11266762235041743,1.0058010056719036
napf6_diglyme,1.0,298.0,6.6863,7.513434558220094,2.67,2.96,1.736765683012316,1.98540418292145,21.153417349159547,13.985188742195769,0.31608604367018056,0.5372422708569348
napf6_dme,0.1,298.0,0.6122000000000001,5.577039213364528,17.2,17.6,10.86312129093918,12.257639829985672,13.075291718485829,8.687088977284997,0.04682113509823055,0.6419917221922524
napf6_dme,1.0,298.0,12.9595,19.58969529208349,6.49,6.42,4.837565905705578,5.202963708765321,48.506326461394266,37.72495796474225,0.2671713350693408,0.519276795759243
napf6_pc,0.1,298.0,1.9515,2.35320532991777,3.21,4.29,5.231253102240217,4.159408059059894,2.8179508013978083,3.5283228193521228,0.6925245107302738,0.666947286402175
napf6_pc,1.0,298.0,6.505199999999999,3.759301560120835,1.29,1.76,1.0362615446266898,0.9659103152277324,11.459666592351086,7.522695729350545,0.5676604940969213,0.49972798254401624
napf6_tegdme,1.0,298.0,1.86,1.2660803735433148,,0.796,0.350180062945345,0.3920086836987191,,2.7886018311921,,0.4540197741325006
