frame_index,natoms,mae_force_components,rmse_force_components,mean_dF_norm_per_atom,max_dF_norm_per_atom
0,2315,0.00285557028837502,0.003976322710514069,0.005687899887561798,0.03775488957762718
1000,2315,0.0028444963973015547,0.0039572082459926605,0.005709533113986254,0.03658610209822655
2000,2315,0.0029504538979381323,0.0041604554280638695,0.0059003629721701145,0.04081907123327255
3000,2315,0.002868029987439513,0.004068351816385984,0.0057327332906425,0.033130303025245667
4000,2315,0.002822693670168519,0.003987713251262903,0.005645384546369314,0.03887678310275078
5000,2315,0.0029456070624291897,0.004212168976664543,0.005922750104218721,0.04989691078662872
6000,2315,0.002957036951556802,0.004136360716074705,0.0058945557102561,0.033876609057188034
7000,2315,0.0029150547925382853,0.004125336650758982,0.005851910449564457,0.0358462817966938
8000,2315,0.0030659823678433895,0.004386791028082371,0.006130265071988106,0.04612484201788902
9000,2315,0.003022244665771723,0.004313483368605375,0.006071440875530243,0.03683199733495712
10000,2315,0.002934585092589259,0.004147290252149105,0.005893557332456112,0.03179781138896942
11000,2315,0.0028881216421723366,0.0040303380228579044,0.005802759435027838,0.03721168637275696
12000,2315,0.0028611605521291494,0.004005176946520805,0.005734937731176615,0.03911106288433075
13000,2315,0.002990726614370942,0.004216915927827358,0.005970734637230635,0.03995014727115631
14000,2315,0.0027850649785250425,0.0039142221212387085,0.005574401468038559,0.03547544404864311
15000,2315,0.0029064014088362455,0.004128421191126108,0.005834854673594236,0.05169806256890297
16000,2315,0.002917790086939931,0.004098806530237198,0.005804348737001419,0.036523666232824326
17000,2315,0.002902335487306118,0.004104310646653175,0.005805450025945902,0.03213805332779884
18000,2315,0.0029860129579901695,0.004173093941062689,0.005994518753141165,0.037471238523721695
19000,2315,0.003038558876141906,0.0043367366306483746,0.006053154356777668,0.04774138331413269
20000,2315,0.00301827909424901,0.0042369067668914795,0.00604624580591917,0.030587850138545036
21000,2315,0.0030019041150808334,0.004270327277481556,0.006009117234498262,0.050952520221471786
22000,2315,0.002947575179859996,0.004223776049911976,0.005880814976990223,0.03911112621426582
23000,2315,0.0029374926816672087,0.004184023477137089,0.005873769521713257,0.04186789318919182
24000,2315,0.0028795981779694557,0.0040589687414467335,0.005770798772573471,0.035143930464982986
25000,2315,0.002912913216277957,0.004099641926586628,0.005837125238031149,0.03919394686818123
26000,2315,0.0027976706624031067,0.003918517380952835,0.0055923182517290115,0.0394238606095314
27000,2315,0.002882339060306549,0.004022244364023209,0.005747160408645868,0.039568617939949036
28000,2315,0.002809995785355568,0.003980137873440981,0.005644232500344515,0.04257482290267944
29000,2315,0.0028739841654896736,0.00401542941108346,0.005741525441408157,0.03795382380485535
30000,2315,0.0029684817418456078,0.004223260097205639,0.005931289866566658,0.04220888763666153
31000,2315,0.002873063087463379,0.004123839084059,0.005746567156165838,0.061207376420497894
32000,2315,0.002882192377001047,0.0040519097819924355,0.0057631018571555614,0.03136787563562393
33000,2315,0.002840073313564062,0.003966450225561857,0.005668254569172859,0.03850235044956207
34000,2315,0.0028792007360607386,0.004094800911843777,0.005768605507910252,0.03450709208846092
35000,2315,0.0029948223382234573,0.004310681484639645,0.005999034736305475,0.061097998172044754
36000,2315,0.0029975625220686197,0.00426873005926609,0.006003045942634344,0.04241187870502472
37000,2315,0.0029728515073657036,0.004219251684844494,0.005937506910413504,0.03376621752977371
38000,2315,0.002975077135488391,0.0041982633993029594,0.005952876061201096,0.03647323697805405
39000,2315,0.0029385541565716267,0.004150006454437971,0.005898710805922747,0.03253677114844322
40000,2315,0.002917543286457658,0.004110939800739288,0.005848068278282881,0.03567156940698624
41000,2315,0.0028758568223565817,0.004030781798064709,0.005750877317041159,0.03198152780532837
42000,2315,0.0030282000079751015,0.00430142180994153,0.006040861364454031,0.036972709000110626
43000,2315,0.002928802976384759,0.004105614963918924,0.0058554355055093765,0.03690674155950546
44000,2315,0.0029367986135184765,0.004170316271483898,0.005877088289707899,0.036106206476688385
45000,2315,0.002977541880682111,0.0042097787372767925,0.005940895061939955,0.04527992010116577
46000,2315,0.003097345819696784,0.004545396193861961,0.006207935977727175,0.08045550435781479
47000,2315,0.0029497265350073576,0.004181296098977327,0.005911164917051792,0.03267200291156769
48000,2315,0.0030911818612366915,0.004491121973842382,0.006193769164383411,0.060498058795928955
49000,2315,0.0029180494602769613,0.004388302564620972,0.005814278963953257,0.10825221985578537
50000,2315,0.0028716707602143288,0.00402831519022584,0.005745152477174997,0.033440668135881424
51000,2315,0.0029344288632273674,0.004111674148589373,0.005851442459970713,0.03636864945292473
52000,2315,0.0029942530672997236,0.0042996895499527454,0.006020662374794483,0.036480166018009186
53000,2315,0.003127565374597907,0.004463675431907177,0.006245320662856102,0.04779324680566788
54000,2315,0.0030102503951638937,0.004320564679801464,0.006034337915480137,0.04368683323264122
55000,2315,0.003029964631423354,0.004278672859072685,0.006084708496928215,0.03410838544368744
56000,2315,0.002957633463665843,0.004157602787017822,0.005916562397032976,0.050334662199020386
57000,2315,0.0029262141324579716,0.004099452868103981,0.005878694821149111,0.028823141008615494
58000,2315,0.0030067996121942997,0.004297418985515833,0.006020011845976114,0.032738782465457916
59000,2315,0.0029413059819489717,0.004219614434987307,0.005874721799045801,0.04107331112027168
60000,2315,0.0029873265884816647,0.004196696449071169,0.005972915329039097,0.03626071661710739
61000,2315,0.002988620661199093,0.004281116649508476,0.005985584110021591,0.045303136110305786
62000,2315,0.0030295108444988728,0.004216459114104509,0.006028394214808941,0.041683465242385864
63000,2315,0.0029929077718406916,0.004246278665959835,0.005991674493998289,0.0578499399125576
64000,2315,0.002948568668216467,0.004160061478614807,0.0058937217108905315,0.04643131047487259
65000,2315,0.0029976621735841036,0.004223751835525036,0.005997389554977417,0.03855040296912193
66000,2315,0.0029503554105758667,0.0041369604878127575,0.005902712699025869,0.0408005565404892
67000,2315,0.0028693003114312887,0.003974291030317545,0.005733732134103775,0.03279384970664978
68000,2315,0.0029254385735839605,0.004162314813584089,0.00583645049482584,0.03802971541881561
69000,2315,0.003039422444999218,0.004223526921123266,0.006078463979065418,0.028199709951877594
70000,2315,0.0029629787895828485,0.004256392363458872,0.005905153229832649,0.0486946627497673
71000,2315,0.003025415353477001,0.004319929983466864,0.006060218904167414,0.05813807621598244
72000,2315,0.0029149255715310574,0.004084205254912376,0.005847502499818802,0.03600968047976494
73000,2315,0.0029832941945642233,0.004188889171928167,0.005964139010757208,0.04215069115161896
74000,2315,0.0029137753881514072,0.0041002146899700165,0.005853472743183374,0.03379625082015991
75000,2315,0.003055207896977663,0.004361586645245552,0.006104243919253349,0.037591125816106796
76000,2315,0.002947032218798995,0.004154442809522152,0.0058962199836969376,0.03712833672761917
77000,2315,0.0031075819861143827,0.004468641709536314,0.0062017072923481464,0.056495241820812225
78000,2315,0.0028746845200657845,0.004043202381581068,0.0057499040849506855,0.03502738103270531
79000,2315,0.002844766713678837,0.003938119858503342,0.005694794934242964,0.02719268761575222
80000,2315,0.0029593815561383963,0.004199255257844925,0.005916801281273365,0.03562638908624649
81000,2315,0.0030318202916532755,0.004430821165442467,0.0060845063999295235,0.09602510929107666
82000,2315,0.003045694436877966,0.0042861453257501125,0.006080113351345062,0.03436052426695824
83000,2315,0.0030342608224600554,0.004286468494683504,0.006086498033255339,0.03780698776245117
84000,2315,0.0029109432362020016,0.004164338577538729,0.005828659050166607,0.043711621314287186
85000,2315,0.003047544974833727,0.004411696922034025,0.006135322153568268,0.04932708665728569
86000,2315,0.003008699743077159,0.004310666583478451,0.006001144647598267,0.046380843967199326
87000,2315,0.0029671217780560255,0.0041624316945672035,0.0059391348622739315,0.040182407945394516
88000,2315,0.0030236216261982918,0.004258806351572275,0.006049455609172583,0.04160512611269951
89000,2315,0.002879373962059617,0.004052972421050072,0.0057441252283751965,0.03198900446295738
90000,2315,0.003019781317561865,0.0043139373883605,0.006038840860128403,0.03752422705292702
91000,2315,0.0031056206207722425,0.005770993884652853,0.0061890133656561375,0.2279420644044876
92000,2315,0.00303944805637002,0.004319748375564814,0.006065982393920422,0.04669832065701485
93000,2315,0.0029816648457199335,0.004220029339194298,0.005963073577731848,0.040296293795108795
94000,2315,0.0030241766944527626,0.004317380953580141,0.006056524813175201,0.03759642690420151
95000,2315,0.0028239653911441565,0.004022541921585798,0.005677744280546904,0.031006770208477974
96000,2315,0.0028743005823343992,0.0040589082054793835,0.005768160335719585,0.044263411313295364
97000,2315,0.0029240448493510485,0.004140360746532679,0.005843657534569502,0.039124712347984314
98000,2315,0.003100103233009577,0.004431850276887417,0.006190397776663303,0.0431765653192997
99000,2315,0.0030012857168912888,0.004285459406673908,0.005975492764264345,0.040635231882333755
