frame_index,natoms,mae_force_components,rmse_force_components,mean_dF_norm_per_atom,max_dF_norm_per_atom
0,2148,0.017438411712646484,0.050224777311086655,0.03473859652876854,1.7294821739196777
1000,2148,0.0052987365052104,0.007801335770636797,0.01065199077129364,0.08609595149755478
2000,2148,0.0048740459606051445,0.00705284159630537,0.00975396391004324,0.07998163998126984
3000,2148,0.00506916968151927,0.007391991559416056,0.010148704051971436,0.0684557631611824
4000,2148,0.0053787799552083015,0.007761016953736544,0.01077145617455244,0.06451065093278885
5000,2148,0.005507157649844885,0.008210708387196064,0.011027839034795761,0.08732916414737701
6000,2148,0.005072542000561953,0.007475675083696842,0.010111796669661999,0.10120042413473129
7000,2148,0.005182039923965931,0.007457436062395573,0.010356740094721317,0.051274705678224564
8000,2148,0.005285391118377447,0.007912292145192623,0.01054585725069046,0.12748947739601135
9000,2148,0.0052672624588012695,0.007705833297222853,0.010529895313084126,0.0695854052901268
10000,2148,0.005060034804046154,0.007200463674962521,0.010084626264870167,0.063897505402565
11000,2148,0.005467453971505165,0.007845676504075527,0.010912309400737286,0.060659389942884445
12000,2148,0.0069258976727724075,0.04416685923933983,0.01396570447832346,2.459864377975464
13000,2148,0.004993253853172064,0.007180982269346714,0.00999690592288971,0.05524623394012451
14000,2148,0.005401962902396917,0.007995308376848698,0.010801086202263832,0.07208766043186188
15000,2148,0.005287171807140112,0.007688806392252445,0.01057707704603672,0.07034370303153992
16000,2148,0.005215055774897337,0.007680893875658512,0.010449509136378765,0.08785023540258408
17000,2148,0.005042346194386482,0.007231102325022221,0.010077912360429764,0.05304925888776779
18000,2148,0.005120598711073399,0.007507937960326672,0.010291927494108677,0.10210667550563812
19000,2148,0.005115508567541838,0.007456758990883827,0.010219373740255833,0.10476166009902954
20000,2148,0.00507949385792017,0.00733953807502985,0.010192245244979858,0.05509273707866669
21000,2148,0.004982399754226208,0.0072313095442950726,0.009924370795488358,0.09503960609436035
22000,2148,0.00685436325147748,0.04384944215416908,0.01368526741862297,2.402582883834839
23000,2148,0.005340393632650375,0.007809808012098074,0.010712744668126106,0.06038246303796768
24000,2148,0.0056486171670258045,0.008338245563209057,0.011278330348432064,0.07202072441577911
25000,2148,0.005653898231685162,0.008215689100325108,0.011279646307229996,0.08682885766029358
26000,2148,0.005593977868556976,0.008301012217998505,0.011193561367690563,0.06725483387708664
27000,2148,0.005027332808822393,0.007314290851354599,0.010036081075668335,0.07402319461107254
28000,2148,0.005046319216489792,0.0073124379850924015,0.010090651921927929,0.07182560861110687
29000,2148,0.005274589639157057,0.007604151498526335,0.010563725605607033,0.08734047412872314
30000,2148,0.005357925780117512,0.007921225391328335,0.010720324702560902,0.08640702068805695
31000,2148,0.004899518098682165,0.007072324398905039,0.009805489331483841,0.06646976619958878
32000,2148,0.005332420114427805,0.007786721456795931,0.010708029381930828,0.07289449125528336
33000,2148,0.005471596494317055,0.008071431890130043,0.010974989272654057,0.08037625253200531
34000,2148,0.005177515093237162,0.007511391304433346,0.010346794500946999,0.0685250386595726
35000,2148,0.005025443155318499,0.007173947989940643,0.010049634613096714,0.0558069683611393
36000,2148,0.0052054584957659245,0.007615164387971163,0.010423596948385239,0.07260601222515106
