frame_index,natoms,mae_force_components,rmse_force_components,mean_dF_norm_per_atom,max_dF_norm_per_atom
0,2150,0.03039410337805748,0.07921149581670761,0.0613270178437233,1.4019432067871094
1000,2150,0.005316939204931259,0.00788851547986269,0.010627640411257744,0.06744366139173508
2000,2150,0.005153251346200705,0.0074233608320355415,0.010285917669534683,0.061125967651605606
3000,2150,0.004968520253896713,0.0072058457881212234,0.009940054267644882,0.07524380087852478
4000,2150,0.005102876108139753,0.007397603243589401,0.010198392905294895,0.061492279171943665
5000,2150,0.005209128372371197,0.007489787880331278,0.010460469871759415,0.0706067755818367
6000,2150,0.00514023844152689,0.007516390178352594,0.010307137854397297,0.06295348703861237
7000,2150,0.005157138220965862,0.007402640767395496,0.0102926604449749,0.07101435959339142
8000,2150,0.0055098519660532475,0.008118163794279099,0.011083150282502174,0.06822984665632248
9000,2150,0.005258700344711542,0.007862287573516369,0.010545571334660053,0.13898290693759918
10000,2150,0.0053590163588523865,0.007844783365726471,0.010732310824096203,0.06461787223815918
11000,2150,0.005285445600748062,0.007744909729808569,0.010550756938755512,0.07217694818973541
12000,2150,0.005443290341645479,0.008241147734224796,0.010963203385472298,0.08740825206041336
13000,2150,0.005106009542942047,0.0073173753917217255,0.010207503102719784,0.08956491947174072
14000,2150,0.005186172667890787,0.007486111484467983,0.010363973677158356,0.07175445556640625
15000,2150,0.005280901212245226,0.007689124904572964,0.01054595597088337,0.07637480646371841
16000,2150,0.0054032825864851475,0.008004778064787388,0.010810629464685917,0.07516497373580933
17000,2150,0.004974669776856899,0.007434394676238298,0.009993836283683777,0.11201557517051697
18000,2150,0.005072018131613731,0.007265137974172831,0.010126476176083088,0.07331056147813797
19000,2150,0.005237648729234934,0.007613072637468576,0.010432315059006214,0.09385739266872406
20000,2150,0.005125529132783413,0.007388600148260593,0.010242532007396221,0.07363224029541016
21000,2150,0.004980483092367649,0.007256683427840471,0.01000233180820942,0.0671524703502655
22000,2150,0.0052208430133759975,0.0076433285139501095,0.010488065890967846,0.07741560786962509
23000,2150,0.005022850353270769,0.007651112508028746,0.0101243294775486,0.1370859593153
24000,2150,0.005244865547865629,0.007643208838999271,0.010487557388842106,0.07324843108654022
25000,2150,0.00537269888445735,0.007968847639858723,0.010788200423121452,0.08634047210216522
26000,2150,0.005095831584185362,0.0071968757547438145,0.010172744281589985,0.056041114032268524
27000,2150,0.005212492775171995,0.007604348007589579,0.010438411496579647,0.07056295871734619
28000,2150,0.005175408441573381,0.00746554508805275,0.010372281074523926,0.07579965889453888
29000,2150,0.004887992981821299,0.007016425020992756,0.009798910468816757,0.0697975754737854
30000,2150,0.005046728532761335,0.007245277054607868,0.010076955892145634,0.06754784286022186
31000,2150,0.004910810384899378,0.00726051302626729,0.009846262633800507,0.08984875679016113
32000,2150,0.0052684033289551735,0.0077966260723769665,0.010492627508938313,0.11486846953630447
33000,2150,0.005187696311622858,0.007684678770601749,0.010372194461524487,0.12758834660053253
34000,2150,0.005242685321718454,0.007687991484999657,0.010514955967664719,0.09556499868631363
35000,2150,0.005725192371755838,0.008537563495337963,0.011449910700321198,0.09220698475837708
36000,2150,0.005212742835283279,0.007526593282818794,0.010414287447929382,0.06567073613405228
37000,2150,0.005164921283721924,0.007665825542062521,0.010302295908331871,0.0946822389960289
38000,2150,0.005052247550338507,0.007337796967476606,0.010124215856194496,0.07826907932758331
39000,2150,0.005184056703001261,0.00757004227489233,0.010329692624509335,0.080512136220932
40000,2150,0.005229606758803129,0.007591832894831896,0.010416435077786446,0.08388423174619675
41000,2150,0.005492695141583681,0.008173172362148762,0.010957607068121433,0.10377143323421478
42000,2150,0.005103605799376965,0.007446193601936102,0.010192257352173328,0.0857657939195633
43000,2150,0.005195192061364651,0.007739100139588118,0.010374314151704311,0.0795598179101944
44000,2150,0.005152191501110792,0.007616932038217783,0.010370862670242786,0.0907515287399292
45000,2150,0.005349859595298767,0.007907949388027191,0.010689732618629932,0.10064137727022171
46000,2150,0.005418235901743174,0.007911848835647106,0.010855036787688732,0.09467463195323944
47000,2150,0.005067821126431227,0.00744793051853776,0.010122116655111313,0.10205354541540146
48000,2150,0.005244315601885319,0.007759066764265299,0.01048161368817091,0.10836485773324966
49000,2150,0.005173415411263704,0.007637159898877144,0.010365894064307213,0.0684891939163208
50000,2150,0.005617064423859119,0.008357908576726913,0.011278110556304455,0.1061859130859375
51000,2150,0.005374678876250982,0.007931699976325035,0.010798705741763115,0.1073245108127594
52000,2150,0.005287927575409412,0.007821599021553993,0.010607857257127762,0.08462540805339813
53000,2150,0.0050398618914186954,0.007359923794865608,0.010086609981954098,0.087749183177948
54000,2150,0.005112989339977503,0.007426619064062834,0.010230649262666702,0.07834372669458389
55000,2150,0.005274320021271706,0.007822937332093716,0.01059680338948965,0.07214837521314621
56000,2150,0.005254362244158983,0.00774333905428648,0.010506527498364449,0.08632154017686844
57000,2150,0.0051704891957342625,0.007460539694875479,0.010383568704128265,0.07779006659984589
58000,2150,0.007155369035899639,0.042367685586214066,0.014036150649189949,2.3362886905670166
59000,2150,0.005281573161482811,0.00782141461968422,0.01056636217981577,0.10667364299297333
60000,2150,0.005059937480837107,0.007391594350337982,0.010116631165146828,0.10202696919441223
61000,2150,0.004997582174837589,0.007212159689515829,0.010037937201559544,0.07574957609176636
62000,2150,0.005410857032984495,0.00798557698726654,0.010817617177963257,0.08296272158622742
63000,2150,0.00520178209990263,0.007461188826709986,0.010328629985451698,0.08432573080062866
64000,2150,0.0049780854023993015,0.007533815689384937,0.009958128444850445,0.11260170489549637
65000,2150,0.005260084290057421,0.0076434798538684845,0.010514295659959316,0.06948747485876083
66000,2150,0.005474799312651157,0.008081188425421715,0.010892334394156933,0.07758866995573044
67000,2150,0.005047214217483997,0.007251197472214699,0.010083736851811409,0.08019214868545532
68000,2150,0.007059047464281321,0.047259584069252014,0.01412942260503769,2.566385269165039
69000,2150,0.005083566065877676,0.0073345135897397995,0.010180744342505932,0.07836515456438065
70000,2150,0.005175544880330563,0.007577338255941868,0.010411623865365982,0.06824693828821182
71000,2150,0.005669380072504282,0.008382276631891727,0.011353335343301296,0.08579215407371521
72000,2150,0.0051276120357215405,0.0073693422600626945,0.010248548351228237,0.07331656664609909
73000,2150,0.005244759377092123,0.007671698462218046,0.010524535551667213,0.08049512654542923
74000,2150,0.0052618891932070255,0.007719527930021286,0.010498838499188423,0.08254039287567139
75000,2150,0.004999163560569286,0.00726671377196908,0.009969544596970081,0.07241448014974594
76000,2150,0.005227426998317242,0.007591209840029478,0.010457996279001236,0.07520070672035217
77000,2150,0.0051973965018987656,0.007604904472827911,0.010410433635115623,0.11498820781707764
78000,2150,0.0051199872978031635,0.007519880775362253,0.01026688702404499,0.08942949026823044
79000,2150,0.005284308921545744,0.0077051809057593346,0.010507573373615742,0.09213384985923767
80000,2150,0.00557055464014411,0.008164918050169945,0.011076909489929676,0.1028313934803009
81000,2150,0.005265503656119108,0.00755145400762558,0.010486015118658543,0.07567320019006729
82000,2150,0.0050187972374260426,0.007207796443253756,0.010031390935182571,0.06456070393323898
83000,2150,0.005578757729381323,0.008524108678102493,0.011191271245479584,0.11752104014158249
84000,2150,0.005629803519695997,0.008288729935884476,0.011236526072025299,0.0909305289387703
85000,2150,0.005190942902117968,0.007695632986724377,0.010350627824664116,0.09953667968511581
86000,2150,0.005313126370310783,0.007738159969449043,0.010617625899612904,0.07499789446592331
87000,2150,0.005116614978760481,0.00736462464556098,0.010166322812438011,0.05646146461367607
88000,2150,0.005238203797489405,0.007745233830064535,0.01048235408961773,0.0742630809545517
89000,2150,0.005079361144453287,0.00735439732670784,0.010130643844604492,0.06662047654390335
90000,2150,0.005123004782944918,0.0074832625687122345,0.010229806415736675,0.09686481952667236
91000,2150,0.00563165545463562,0.008240303955972195,0.01122704055160284,0.09399238228797913
92000,2150,0.00529218465089798,0.007730222772806883,0.01060198899358511,0.07130566984415054
93000,2150,0.00553527707234025,0.008014976978302002,0.011030280962586403,0.09898076206445694
94000,2150,0.005389065016061068,0.007751992903649807,0.010778392665088177,0.0780140832066536
95000,2150,0.005385642405599356,0.007898193784058094,0.01075440738350153,0.07390546053647995
96000,2150,0.005362071096897125,0.007841558195650578,0.0107843317091465,0.068077452480793
97000,2150,0.0053183999843895435,0.0077138906344771385,0.010657780803740025,0.06197487190365791
98000,2150,0.005156408529728651,0.007704965770244598,0.010331803001463413,0.12615416944026947
