frame_index,natoms,mae_force_components,rmse_force_components,mean_dF_norm_per_atom,max_dF_norm_per_atom
0,2072,0.011350512504577637,0.03750935196876526,0.022892815992236137,1.2025084495544434
1000,2072,0.0028241658583283424,0.004092319402843714,0.005684664007276297,0.055241987109184265
2000,2072,0.002723490819334984,0.0038468786515295506,0.005437979009002447,0.04415634647011757
3000,2072,0.0026102287229150534,0.0037007913924753666,0.005234281998127699,0.03356221690773964
4000,2072,0.002659381600096822,0.003733307123184204,0.005320865195244551,0.035246945917606354
5000,2072,0.002649590140208602,0.0037538057658821344,0.005296166054904461,0.03280826285481453
6000,2072,0.002632439136505127,0.0036496741231530905,0.0052692946046590805,0.025111524388194084
7000,2072,0.0026139458641409874,0.003649708814918995,0.0052190073765814304,0.033434513956308365
8000,2072,0.0026810343842953444,0.003879689145833254,0.005342956632375717,0.04988153278827667
9000,2072,0.0026526094879955053,0.0037070682737976313,0.005312916822731495,0.036077823489904404
10000,2072,0.0028088341932743788,0.0039742314256727695,0.005593324080109596,0.03216426447033882
11000,2072,0.0026148559991270304,0.0036753807216882706,0.005222372245043516,0.030779846012592316
12000,2072,0.0025767760816961527,0.0036348856519907713,0.005166845861822367,0.038379985839128494
13000,2072,0.0026432666927576065,0.003757877741008997,0.005309717264026403,0.046197559684515
14000,2072,0.0026095861103385687,0.0038043551612645388,0.005236622877418995,0.07144603878259659
15000,2072,0.0025513453874737024,0.003859422169625759,0.005121559835970402,0.08855494111776352
16000,2072,0.0026647555641829967,0.0037486408837139606,0.005337957292795181,0.02872452884912491
17000,2072,0.0026138960383832455,0.0036186445504426956,0.005211488343775272,0.026049697771668434
18000,2072,0.002521847141906619,0.0034925148356705904,0.00504999328404665,0.03123432956635952
19000,2072,0.0025465404614806175,0.0035973815247416496,0.005092942155897617,0.03189946711063385
20000,2072,0.0026536835357546806,0.003723087254911661,0.005314309615641832,0.035821691155433655
21000,2072,0.0026375511661171913,0.00369047443382442,0.005252131726592779,0.03645253926515579
22000,2072,0.0026589655317366123,0.0037567426916211843,0.0053277285769581795,0.035165101289749146
23000,2072,0.002604894107207656,0.003691646968945861,0.005218420177698135,0.038620464503765106
24000,2072,0.0026255350094288588,0.003656974295154214,0.005230131559073925,0.03345456346869469
25000,2072,0.0027201578486710787,0.003803901607170701,0.005441371817141771,0.03344238921999931
26000,2072,0.0025893282145261765,0.003702141111716628,0.005199202336370945,0.03130679950118065
27000,2072,0.0027125924825668335,0.00386187806725502,0.005419472698122263,0.03883112594485283
28000,2072,0.0026944950222969055,0.003785935929045081,0.005374121479690075,0.03216192498803139
29000,2072,0.002657160395756364,0.0037267066072672606,0.005325069651007652,0.04450235888361931
30000,2072,0.0027138330042362213,0.0038187778554856777,0.0054269409738481045,0.03511844575405121
31000,2072,0.0026528979651629925,0.0037355166859924793,0.005314772017300129,0.03711051493883133
32000,2072,0.0028258655220270157,0.004077770281583071,0.005648279096931219,0.042691219598054886
33000,2072,0.0027699642814695835,0.003943747840821743,0.0055516567081213,0.03813239932060242
34000,2072,0.002684315200895071,0.00375837879255414,0.005353860557079315,0.03435702994465828
35000,2072,0.0026000875514000654,0.0036630912218242884,0.00519504165276885,0.03304719924926758
36000,2072,0.002644516993314028,0.003695559920743108,0.005293300375342369,0.031057000160217285
37000,2072,0.004021579399704933,0.03803914040327072,0.007973304018378258,2.057439088821411
38000,2072,0.002643965184688568,0.003765680128708482,0.0053160786628723145,0.04097374156117439
39000,2072,0.002603479428216815,0.00366801000200212,0.005222777370363474,0.03242644667625427
40000,2072,0.002721685217693448,0.003775109304115176,0.005426211282610893,0.02946733683347702
41000,2072,0.0026532195042818785,0.0037034680135548115,0.005314590875059366,0.02571360021829605
42000,2072,0.0026809717528522015,0.0037833547685295343,0.005378007888793945,0.03240995854139328
43000,2072,0.0026436876505613327,0.0036895880475640297,0.005287511274218559,0.04381221532821655
44000,2072,0.0026832434814423323,0.0037755442317575216,0.005382562521845102,0.03434282913804054
45000,2072,0.0025881677865982056,0.0036473434884101152,0.005182182416319847,0.03934336453676224
46000,2072,0.0026681304443627596,0.00371193652972579,0.005314881447702646,0.031194627285003662
47000,2072,0.0025400056038051844,0.0035378814209252596,0.005065188277512789,0.02577766589820385
48000,2072,0.002650755923241377,0.0037267974112182856,0.005300613585859537,0.034228574484586716
49000,2072,0.0025904669892042875,0.003652525134384632,0.005173158831894398,0.04247201234102249
50000,2072,0.002648534718900919,0.00372668937779963,0.005295152310281992,0.03402592986822128
51000,2072,0.002625827444717288,0.003704866860061884,0.005241472274065018,0.030305035412311554
52000,2072,0.0027920601423829794,0.003931332379579544,0.00557319913059473,0.03769335150718689
53000,2072,0.0027557951398193836,0.0038898515049368143,0.005517163313925266,0.03467128053307533
54000,2072,0.0027098816353827715,0.004006065893918276,0.005395674146711826,0.08195193111896515
55000,2072,0.0026366382371634245,0.0038957353681325912,0.005272712558507919,0.07902355492115021
56000,2072,0.002597080310806632,0.003665084717795253,0.0051564681343734264,0.04593970999121666
57000,2072,0.0025363483000546694,0.0035527825821191072,0.0050626047886908054,0.028241721913218498
58000,2072,0.002649652771651745,0.0037095139268785715,0.005316081456840038,0.03138704225420952
59000,2072,0.0025589819997549057,0.003594262758269906,0.005130975041538477,0.027071822434663773
60000,2072,0.0026012228336185217,0.003654250642284751,0.005201094318181276,0.03419770300388336
61000,2072,0.0024922506418079138,0.0035233290400356054,0.004996325355023146,0.029686590656638145
62000,2072,0.002605333924293518,0.003673478029668331,0.005199560429900885,0.03699442371726036
63000,2072,0.002690522698685527,0.0037688922602683306,0.005365770775824785,0.03828832879662514
64000,2072,0.002567482180893421,0.0036054211668670177,0.005135256331413984,0.035013701766729355
65000,2072,0.0026519710663706064,0.0036903813015669584,0.005298482719808817,0.029394131153821945
66000,2072,0.002622423693537712,0.003663531970232725,0.005246661137789488,0.03507603704929352
67000,2072,0.002755616093054414,0.003920785617083311,0.005512109957635403,0.04772840812802315
68000,2072,0.0026973874773830175,0.0037562926299870014,0.005366685334593058,0.036409325897693634
69000,2072,0.0026090650353580713,0.003616815898567438,0.005211737938225269,0.032510001212358475
70000,2072,0.002583690918982029,0.003629127750173211,0.005158193875104189,0.030746877193450928
71000,2072,0.002503889612853527,0.0035031812731176615,0.00500336941331625,0.037958577275276184
