system,density_student_g_mL,density_opls_g_mL,density_exp_g_mL
NaOTf-DME,1.0818841762961753,1.0133290746692765,0.9799
NaOTf-Diglyme,1.1489042796437832,1.074259764719337,1.04709
NaPF6-DME,1.1035488235500552,1.03421150497967,0.99502
NaPF6-Diglyme,1.1591926802045225,1.0885371632493501,1.05868
NaPF6-PC,1.3849387940593034,1.2554623109782292,1.29088
